,TimeStep,Vehicle_ID,_X,_Y,_Angle,_Pos,_Speed,_Lane,_Slope
22184,480.00,32,8432.83,14691.98,32.20,1746.55,21.87,347355524#1_0,0.00
22185,480.00,33,6358.25,10360.32,319.90,228.89,25.04,288088613#2_0,0.00
22186,480.00,34,9277.90,17405.61,15.62,4629.11,22.09,347355524#1_0,0.00
22187,480.00,35,11304.58,5773.76,336.85,6224.86,13.45,-288088612#6_0,0.00
22188,480.00,36,12835.42,16388.08,111.11,788.10,21.55,-347355525#5_0,0.00
22189,480.00,37,10669.40,9529.33,358.14,2194.99,19.30,-288088612#5_0,0.00
22190,480.00,38,17035.69,14462.57,280.60,1817.77,14.31,-958984632_0,0.00
22191,480.00,39,1108.15,10292.54,66.39,713.95,19.93,347355524#0_0,0.00
22192,480.00,4,8209.13,11580.33,255.88,657.08,21.81,-229938465#2_0,0.00
22193,480.00,40,14933.81,13956.22,53.31,4713.54,21.67,229938465#5_0,0.00
22194,480.00,42,5253.14,12269.75,244.00,2311.46,24.06,-347355524#0_0,0.00
22195,480.00,43,13560.55,13554.16,69.00,3280.27,23.04,229938465#5_0,0.00
22196,480.00,45,10231.41,16067.44,352.51,1787.63,18.13,-288088612#0_0,0.00
22197,480.00,46,16126.21,15038.34,224.82,330.66,21.68,-1002123620#4_0,0.00
22198,480.00,47,2956.43,11179.06,64.61,2764.11,19.85,347355524#0_0,0.00
22199,480.00,48,12099.03,12903.92,68.64,1680.38,19.02,229938465#5_0,0.00
22200,480.00,49,10522.54,12500.82,339.29,5.00,4.60,:5189514021_1_0,0.00
22201,480.00,5,11296.23,5794.11,337.73,6246.86,12.83,-288088612#6_0,0.00
22202,480.00,6,12346.36,16561.04,287.44,1489.47,22.99,347355525#5_0,0.00
22203,480.00,7,8688.27,8442.57,308.15,2253.20,18.68,288088613#0_0,0.00
22204,480.00,8,10622.71,10559.59,357.19,3226.37,15.57,-288088612#5_0,0.00
22205,480.00,9,16045.45,14958.51,226.45,21.44,17.87,-1002123620#3_0,0.00
22206,481.00,0,6195.81,11149.94,259.59,2717.13,23.11,-229938465#2_0,0.00
22207,481.00,10,16020.09,14934.40,226.45,56.43,24.22,-1002123620#3_0,0.00
22208,481.00,11,10544.14,12252.00,179.41,245.54,6.95,288088612#4_0,0.00
22209,481.00,12,8388.01,11622.79,257.50,473.21,22.51,-229938465#2_0,0.00
22210,481.00,13,13252.99,13424.68,65.15,2946.40,23.96,229938465#5_0,0.00
22211,481.00,14,10542.35,12806.01,181.29,209.12,15.90,288088612#2_0,0.00
22212,481.00,15,15992.26,15293.89,270.70,373.11,19.79,347355525#1_0,0.00
22213,481.00,16,8963.00,11739.64,77.91,98.28,18.43,229938465#3_0,0.00
22214,481.00,17,9124.71,16920.73,184.92,573.89,20.47,-347355524#1_0,0.00
22215,481.00,19,9999.65,12013.13,248.34,170.34,25.70,-229938465#3_0,0.00
22216,481.00,2,8841.44,15559.97,18.46,2707.57,22.10,347355524#1_0,0.00
22217,481.00,20,10361.99,15233.16,171.23,1660.08,16.28,288088612#0_0,0.00
22218,481.00,21,10623.20,10549.57,357.19,3216.34,15.44,-288088612#5_0,0.00
22219,481.00,22,4050.16,11699.18,64.69,3975.23,21.38,347355524#0_0,0.00
22220,481.00,23,15469.57,14426.17,47.31,196.79,19.59,1002123620#1_0,0.00
22221,481.00,25,9396.30,17465.72,277.18,1.14,6.14,347355525#7_0,0.00
22222,481.00,26,1483.25,10468.34,63.35,1128.35,19.31,347355524#0_0,0.00
22223,481.00,28,10343.64,15373.08,351.23,1084.22,18.08,-288088612#0_0,0.00
22224,481.00,29,10574.15,13931.85,0.28,891.01,14.76,-288088612#1_0,0.00
22225,481.00,3,13957.24,15903.76,118.72,148.11,23.82,-347355525#3_0,0.00
22226,481.00,30,10664.34,8588.26,182.10,3640.82,19.48,288088612#5_0,0.00
22227,481.00,31,10619.80,7738.32,183.22,4491.94,19.22,288088612#5_0,0.00
22228,481.00,32,8444.14,14709.92,32.20,1767.76,21.21,347355524#1_0,0.00
22229,481.00,33,6342.12,10379.66,320.57,254.08,25.18,288088613#2_0,0.00
22230,481.00,34,9282.63,17422.55,15.62,4646.69,17.59,347355524#1_0,0.00
22231,481.00,35,11299.83,5785.32,337.73,6237.36,12.50,-288088612#6_0,0.00
22232,481.00,36,12855.06,16380.49,111.11,809.15,21.05,-347355525#5_0,0.00
22233,481.00,37,10668.78,9548.37,358.14,2214.03,19.04,-288088612#5_0,0.00
22234,481.00,38,17021.20,14465.28,280.60,1832.51,14.74,-958984632_0,0.00
22235,481.00,39,1126.28,10300.47,66.39,733.74,19.79,347355524#0_0,0.00
22236,481.00,4,8188.01,11575.01,255.88,678.86,21.78,-229938465#2_0,0.00
22237,481.00,40,14951.53,13969.42,53.31,4735.63,22.09,229938465#5_0,0.00
22238,481.00,42,5231.35,12259.42,245.35,2335.58,24.12,-347355524#0_0,0.00
22239,481.00,43,13581.27,13562.11,69.00,3302.46,22.19,229938465#5_0,0.00
22240,481.00,45,10229.10,16085.01,352.51,1805.36,17.72,-288088612#0_0,0.00
22241,481.00,46,16111.23,15023.26,224.82,351.91,21.25,-1002123620#4_0,0.00
22242,481.00,47,2973.86,11187.33,64.61,2783.41,19.29,347355524#0_0,0.00
22243,481.00,48,12116.52,12910.76,68.64,1699.17,18.78,229938465#5_0,0.00
22244,481.00,49,10517.03,12505.02,301.05,6.56,7.07,:5189514021_9_0,0.00
22245,481.00,5,11291.35,5806.02,337.73,6259.72,12.87,-288088612#6_0,0.00
22246,481.00,6,12324.42,16567.94,287.44,1512.46,23.00,347355525#5_0,0.00
22247,481.00,7,8673.16,8454.43,308.15,2272.40,19.21,288088613#0_0,0.00
22248,481.00,8,10621.97,10574.61,357.19,3241.41,15.03,-288088612#5_0,0.00
22249,481.00,9,16031.91,14945.63,226.45,40.13,18.68,-1002123620#3_0,0.00
22250,482.00,0,6173.78,11145.89,259.59,2739.54,22.41,-229938465#2_0,0.00
22251,482.00,10,16003.08,14918.23,226.45,79.90,23.46,-1002123620#3_0,0.00
22252,482.00,11,10542.63,12243.54,196.80,5.77,8.75,:2916295837_14_0,0.00
22253,482.00,12,8366.25,11617.96,257.50,495.50,22.29,-229938465#2_0,0.00
22254,482.00,13,13275.20,13434.96,65.15,2970.88,24.48,229938465#5_0,0.00
22255,482.00,14,10542.57,12790.80,176.21,224.35,15.22,288088612#2_0,0.00
22256,482.00,15,15972.92,15294.13,270.70,392.45,19.34,347355525#1_0,0.00
22257,482.00,16,8981.90,11743.69,77.91,117.61,19.33,229938465#3_0,0.00
22258,482.00,17,9123.01,16901.02,184.92,593.67,19.78,-347355524#1_0,0.00
22259,482.00,19,9975.81,12003.66,248.34,195.99,25.66,-229938465#3_0,0.00
22260,482.00,2,8848.17,15580.13,18.46,2728.82,21.25,347355524#1_0,0.00
22261,482.00,20,10364.47,15217.08,171.23,1676.35,16.27,288088612#0_0,0.00
22262,482.00,21,10622.48,10564.14,357.19,3230.93,14.59,-288088612#5_0,0.00
22263,482.00,22,4069.32,11708.24,64.69,3996.43,21.20,347355524#0_0,0.00
22264,482.00,23,15483.53,14439.04,47.31,215.78,18.99,1002123620#1_0,0.00
22265,482.00,25,9388.56,17465.82,270.79,8.88,7.74,347355525#7_0,0.00
22266,482.00,26,1501.29,10477.40,63.35,1148.54,20.18,347355524#0_0,0.00
22267,482.00,28,10340.93,15390.60,351.19,1101.95,17.73,-288088612#0_0,0.00
22268,482.00,29,10573.65,13946.59,353.88,905.78,14.77,-288088612#1_0,0.00
22269,482.00,3,13977.19,15892.72,119.39,170.91,22.80,-347355525#3_0,0.00
22270,482.00,30,10663.34,8569.44,183.04,3659.67,18.85,288088612#5_0,0.00
22271,482.00,31,10618.73,7719.30,183.22,4510.99,19.06,288088612#5_0,0.00
22272,482.00,32,8455.30,14728.89,28.76,1789.78,22.03,347355524#1_0,0.00
22273,482.00,33,6325.82,10399.49,320.57,279.75,25.68,288088613#2_0,0.00
22274,482.00,34,9286.25,17435.50,15.62,4660.14,13.45,347355524#1_0,0.00
22275,482.00,35,11295.19,5796.66,337.73,6249.60,12.25,-288088612#6_0,0.00
22276,482.00,36,12875.01,16372.79,111.11,830.53,21.38,-347355525#5_0,0.00
22277,482.00,37,10667.92,9567.44,356.51,2233.13,19.10,-288088612#5_0,0.00
22278,482.00,38,17006.91,14467.96,280.60,1847.04,14.53,-958984632_0,0.00
22279,482.00,39,1144.35,10308.36,66.39,753.45,19.72,347355524#0_0,0.00
22280,482.00,4,8166.35,11569.56,255.88,701.20,22.34,-229938465#2_0,0.00
22281,482.00,40,14969.57,13982.87,53.33,4.27,22.51,1002123620#0_0,0.00
22282,482.00,42,5209.41,12249.35,245.35,2359.72,24.14,-347355524#0_0,0.00
22283,482.00,43,13602.59,13570.30,69.00,3325.29,22.84,229938465#5_0,0.00
22284,482.00,45,10226.88,16101.91,352.51,1822.41,17.05,-288088612#0_0,0.00
22285,482.00,46,16095.87,15007.80,224.82,373.70,21.79,-1002123620#4_0,0.00
22286,482.00,47,2991.21,11195.56,64.61,2802.61,19.20,347355524#0_0,0.00
22287,482.00,48,12133.57,12917.43,68.64,1717.47,18.30,229938465#5_0,0.00
22288,482.00,49,10509.63,12507.33,285.34,4.82,7.76,535366682_0,0.00
22289,482.00,5,11286.20,5818.58,337.73,6273.30,13.58,-288088612#6_0,0.00
22290,482.00,6,12303.30,16574.60,287.63,1534.61,22.15,347355525#5_0,0.00
22291,482.00,7,8658.56,8465.90,308.15,2290.97,18.57,288088613#0_0,0.00
22292,482.00,8,10621.24,10589.42,357.19,3256.24,14.83,-288088612#5_0,0.00
22293,482.00,9,16018.22,14932.62,226.45,59.01,18.89,-1002123620#3_0,0.00
22294,483.00,0,6150.65,11141.64,259.59,2763.06,23.52,-229938465#2_0,0.00
22295,483.00,10,15985.60,14901.61,226.45,104.02,24.12,-1002123620#3_0,0.00
22296,483.00,11,10535.41,12237.48,238.54,15.39,9.62,:2916295837_14_0,0.00
22297,483.00,12,8344.46,11613.13,257.50,517.82,22.32,-229938465#2_0,0.00
22298,483.00,13,13297.23,13445.16,65.15,2995.16,24.28,229938465#5_0,0.00
22299,483.00,14,10543.59,12775.33,176.21,239.85,15.51,288088612#2_0,0.00
22300,483.00,15,15953.58,15294.37,270.70,411.78,19.34,347355525#1_0,0.00
22301,483.00,16,9000.13,11747.59,77.91,136.25,18.64,229938465#3_0,0.00
22302,483.00,17,9121.22,16880.24,184.92,614.52,20.86,-347355524#1_0,0.00
22303,483.00,19,9952.25,11994.31,248.34,221.35,25.36,-229938465#3_0,0.00
22304,483.00,2,8855.03,15600.65,18.46,2750.46,21.64,347355524#1_0,0.00
22305,483.00,20,10367.05,15200.37,171.23,1693.26,16.91,288088612#0_0,0.00
