,Car1,Car2,Car3,Car4,Car5,Car6,Car7,Car8,Car9
276,75.0,53.0,49.0,42.0,31.0,30.0,24.0,31.0,25.0
277,75.0,53.0,49.0,45.0,31.0,31.0,23.0,27.0,22.0
278,75.0,53.0,49.0,42.0,33.0,31.0,24.0,28.0,20.0
279,75.0,52.0,50.0,45.0,35.0,34.0,27.0,30.0,20.0
280,75.0,52.0,50.0,45.0,32.0,18.0,26.0,29.0,20.0
281,75.0,52.0,50.0,42.0,33.0,32.0,25.0,29.0,20.0
282,75.0,52.0,49.0,45.0,32.0,35.0,28.0,29.0,21.0
283,76.0,52.0,49.0,45.0,30.0,36.0,26.0,25.0,24.0
284,76.0,53.0,47.0,44.0,29.0,36.0,27.0,26.0,24.0
285,76.0,52.0,50.0,48.0,33.0,36.0,26.0,25.0,24.0
286,77.0,52.0,49.0,47.0,33.0,36.0,24.0,26.0,22.0
287,76.0,49.0,49.0,47.0,30.0,31.0,23.0,28.0,20.0
288,76.0,53.0,49.0,44.0,29.0,35.0,22.0,26.0,23.0
289,77.0,50.0,49.0,44.0,32.0,35.0,22.0,27.0,22.0
290,76.0,50.0,50.0,46.0,29.0,35.0,25.0,29.0,23.0
291,76.0,49.0,49.0,47.0,30.0,34.0,27.0,34.0,22.0
292,76.0,49.0,48.0,43.0,31.0,33.0,21.0,31.0,21.0
293,75.0,50.0,49.0,46.0,31.0,33.0,23.0,31.0,19.0
294,75.0,50.0,47.0,41.0,33.0,37.0,27.0,32.0,16.0
295,76.0,50.0,47.0,41.0,32.0,35.0,27.0,30.0,18.0
296,75.0,50.0,47.0,40.0,31.0,36.0,25.0,29.0,20.0
297,76.0,50.0,44.0,45.0,32.0,37.0,17.0,29.0,21.0
298,75.0,50.0,48.0,42.0,33.0,35.0,21.0,30.0,20.0
299,75.0,53.0,47.0,42.0,31.0,33.0,14.0,29.0,19.0
300,75.0,53.0,47.0,45.0,31.0,31.0,17.0,29.0,21.0
301,75.0,53.0,47.0,45.0,30.0,28.0,23.0,28.0,15.0
302,75.0,53.0,46.0,43.0,30.0,32.0,28.0,26.0,17.0
303,76.0,53.0,49.0,43.0,31.0,29.0,26.0,29.0,19.0
304,75.0,53.0,46.0,47.0,29.0,28.0,25.0,28.0,21.0
305,75.0,52.0,46.0,48.0,29.0,28.0,28.0,28.0,16.0
306,76.0,53.0,49.0,44.0,29.0,28.0,29.0,27.0,18.0
307,76.0,53.0,46.0,44.0,32.0,32.0,31.0,33.0,19.0
308,77.0,53.0,49.0,47.0,31.0,33.0,30.0,33.0,20.0
309,77.0,52.0,46.0,47.0,31.0,34.0,30.0,31.0,22.0
310,76.0,52.0,46.0,47.0,31.0,31.0,29.0,37.0,17.0
311,76.0,52.0,49.0,46.0,30.0,33.0,29.0,32.0,17.0
312,76.0,53.0,48.0,47.0,31.0,34.0,29.0,34.0,13.0
313,75.0,52.0,48.0,48.0,32.0,34.0,29.0,35.0,13.0
314,75.0,52.0,49.0,42.0,33.0,30.0,29.0,22.0,12.0
315,75.0,52.0,45.0,41.0,33.0,34.0,31.0,40.0,16.0
316,78.0,51.0,45.0,45.0,32.0,37.0,31.0,38.0,20.0
317,77.0,52.0,48.0,42.0,35.0,38.0,32.0,35.0,21.0
318,78.0,52.0,48.0,44.0,32.0,36.0,30.0,33.0,19.0
319,77.0,53.0,45.0,44.0,35.0,36.0,26.0,35.0,19.0
320,78.0,53.0,48.0,44.0,35.0,35.0,27.0,28.0,17.0
321,77.0,53.0,45.0,41.0,32.0,34.0,28.0,32.0,19.0
322,77.0,53.0,51.0,41.0,35.0,31.0,28.0,23.0,15.0
323,78.0,52.0,50.0,43.0,33.0,29.0,28.0,21.0,18.0
324,78.0,52.0,51.0,41.0,33.0,32.0,28.0,15.0,19.0
325,78.0,52.0,48.0,45.0,34.0,37.0,26.0,26.0,19.0
326,77.0,53.0,51.0,42.0,32.0,28.0,27.0,30.0,22.0
327,78.0,53.0,51.0,42.0,33.0,28.0,26.0,27.0,23.0
328,77.0,54.0,50.0,44.0,33.0,33.0,25.0,25.0,22.0
329,78.0,53.0,50.0,44.0,36.0,35.0,28.0,24.0,20.0
330,78.0,52.0,51.0,41.0,33.0,28.0,28.0,32.0,14.0
331,78.0,52.0,49.0,41.0,32.0,34.0,28.0,36.0,15.0
332,77.0,51.0,47.0,45.0,31.0,33.0,29.0,24.0,17.0
333,77.0,51.0,48.0,41.0,31.0,32.0,25.0,29.0,17.0
334,78.0,52.0,47.0,46.0,31.0,31.0,23.0,22.0,14.0
335,78.0,51.0,47.0,45.0,29.0,30.0,23.0,29.0,14.0
336,75.0,51.0,48.0,46.0,31.0,29.0,23.0,30.0,15.0
337,76.0,52.0,47.0,43.0,30.0,34.0,25.0,17.0,18.0
338,76.0,51.0,44.0,43.0,30.0,33.0,27.0,27.0,18.0
339,75.0,54.0,45.0,46.0,31.0,33.0,29.0,26.0,20.0
340,75.0,54.0,48.0,46.0,34.0,35.0,30.0,27.0,20.0
341,75.0,54.0,44.0,46.0,30.0,30.0,26.0,16.0,19.0
342,75.0,53.0,48.0,46.0,31.0,33.0,24.0,31.0,20.0
343,75.0,54.0,48.0,42.0,27.0,31.0,24.0,26.0,21.0
344,75.0,54.0,50.0,44.0,27.0,36.0,25.0,17.0,24.0
345,75.0,54.0,50.0,44.0,31.0,37.0,22.0,26.0,23.0
346,77.0,53.0,51.0,44.0,28.0,30.0,18.0,20.0,22.0
347,77.0,54.0,48.0,45.0,29.0,32.0,18.0,20.0,21.0
348,78.0,53.0,50.0,42.0,31.0,39.0,16.0,28.0,25.0
349,77.0,53.0,51.0,41.0,33.0,39.0,20.0,25.0,25.0
350,77.0,53.0,50.0,44.0,32.0,38.0,23.0,24.0,23.0
351,77.0,52.0,50.0,42.0,30.0,31.0,24.0,25.0,25.0
352,77.0,53.0,47.0,41.0,30.0,36.0,22.0,28.0,25.0
353,78.0,52.0,48.0,44.0,34.0,31.0,21.0,32.0,25.0
354,78.0,53.0,48.0,42.0,30.0,33.0,21.0,24.0,24.0
355,77.0,53.0,47.0,42.0,32.0,30.0,19.0,11.0,24.0
356,75.0,53.0,48.0,42.0,31.0,27.0,13.0,26.0,24.0
357,75.0,52.0,48.0,45.0,31.0,37.0,19.0,24.0,23.0
358,76.0,54.0,48.0,42.0,33.0,29.0,16.0,25.0,24.0
359,76.0,55.0,49.0,45.0,33.0,32.0,20.0,22.0,23.0
