TimeStep,Vehicle_ID,_X,_Y,_Angle,_Pos,_Speed,_Lane,_Slope
23.0,1,6989.83,13167.91,233.11,354.47,20.55,-347355524#0_0,0.0
23.0,10,24030.88,13360.71,260.24,139.97,22.24,347355525#0_0,0.0
23.0,11,9571.32,17451.69,96.54,160.03,21.95,-347355525#6_0,0.0
23.0,12,9387.53,17332.06,186.18,125.54,16.4,803874779#0_0,0.0
23.0,13,8741.04,11701.03,257.5,111.62,20.16,-229938465#2_0,0.0
23.0,14,11989.83,16674.2,287.63,90.28,17.19,347355525#6_0,0.0
23.0,15,24086.23,13370.23,260.24,83.82,17.88,347355525#0_0,0.0
23.0,16,516.1,9983.24,70.0,55.48,12.88,229938465#1_0,0.0
23.0,17,7342.69,13369.48,128.13,48.7,12.12,-500298205_0,0.0
23.0,18,15211.92,15306.7,271.35,32.89,8.77,347355525#3_0,0.0
23.0,19,11791.05,15019.02,260.49,28.68,9.09,500298202_0,0.0
23.0,2,775.69,10142.35,64.56,349.09,21.36,347355524#0_0,0.0
23.0,20,4461.7,14894.71,66.45,16.46,6.15,290273433#0_0,0.0
23.0,21,6554.1,10144.39,132.02,9.83,3.32,-288088613#0_0,0.0
23.0,22,5743.71,11064.67,262.83,7.25,2.15,-229938465#1_0,0.0
23.0,23,10153.19,12074.11,248.34,5.1,0.0,-229938465#3_0,0.0
23.0,3,7074.64,13812.05,179.19,254.08,14.35,602247752_0,0.0
23.0,4,15032.15,15240.88,252.19,218.57,13.39,-803864266_0,0.0
23.0,5,13551.94,197.37,338.3,212.06,13.17,-288088612#6_0,0.0
23.0,6,20682.87,19456.93,226.95,268.8,22.64,-1002123620#6_0,0.0
23.0,7,10552.22,12037.19,177.9,187.57,13.54,288088612#5_0,0.0
23.0,8,6704.88,10010.04,131.13,211.78,20.72,-288088613#0_0,0.0
23.0,9,23986.59,13353.09,260.24,184.92,19.01,347355525#0_0,0.0
24.0,0,10137.5,16520.05,166.69,353.08,16.88,288088612#0_0,0.0
24.0,1,6972.16,13157.03,238.37,375.21,20.74,-347355524#0_0,0.0
24.0,10,24009.05,13356.96,260.24,162.12,22.15,347355525#0_0,0.0
24.0,11,9593.2,17448.89,99.68,182.09,22.06,-347355525#6_0,0.0
24.0,12,9385.68,17315.04,186.18,142.66,17.12,803874779#0_0,0.0
24.0,13,8719.46,11696.25,257.5,133.72,22.1,-229938465#2_0,0.0
24.0,14,11970.98,16680.19,287.63,110.05,19.78,347355525#6_0,0.0
